"Player" "n" "RallyCount" "Dist" "Point" "Speed" "FirstServe" "SecondServe" "DoubleFault" "played_minutes" "Gender" "rally_min" "rally_match" "Dist_min" "Dist_match" "Point_min" "Point_match" "played_minutes_match" "PercFirstServe" "PercSecondServe" "PercDoubleFault"
"nicolas mahut" 1 319 1692.40258895706 167 162.635294117647 54 34 3 21.69 "M" 14.7072383586906 319 78.0268597951618 1692.40258895706 7.69940064545874 167 21.69 59.3406593406593 37.3626373626374 3.2967032967033
"juan martin del potro" 9 3921 21389.6843506471 1991 174.529989573808 600 328 35 296.696666666667 "M" 13.215517531935 435.666666666667 72.0927693288781 2376.63159451634 6.71055735936815 221.222222222222 32.9662962962963 62.3052959501558 34.0602284527518 3.63447559709242
"taylor townsend" 1 412.5 2494.80205128205 200 138.947916666667 71 25 5 27.3033333333333 "W" 15.1080454157002 412.5 91.373533803518 2494.80205128205 7.32511292882433 200 27.3033333333333 70.2970297029703 24.7524752475248 4.95049504950495
"agnieszka radwanska" 11 4161.5 21887.2672558819 1684 138.02479415777 546 284 18 246.446666666667 "W" 16.8860064381746 378.318181818182 88.8113746958714 1989.75156871653 6.8331214326291 153.090909090909 22.4042424242424 64.3867924528302 33.4905660377358 2.12264150943396
"kurumi nara" 5 1647 8373.24465730696 655 135.081111105847 224 101 11 90.1433333333333 "W" 18.2709018969789 329.4 92.8881188178859 1674.64893146139 7.26620567244759 131 18.0286666666667 66.6666666666667 30.0595238095238 3.27380952380952
"marketa vondrousova" 1 601.5 3153.21831838565 227 135.8625 58 30 9 30.2733333333333 "W" 19.8689715921603 601.5 104.158279620755 3153.21831838565 7.49834838141379 227 30.2733333333333 59.7938144329897 30.9278350515464 9.27835051546392
"evgeniya rodina" 3 802.5 3980.3483502927 378 142.500434243176 132 53 4 47.6233333333333 "W" 16.850983411493 267.5 83.579793174761 1326.7827834309 7.93728564429202 126 15.8744444444444 69.8412698412698 28.042328042328 2.11640211640212
"allie kiick" 1 180.5 1156.3002 88 136 19 17 5 12.08 "W" 14.9420529801325 180.5 95.7202152317881 1156.3002 7.28476821192053 88 12.08 46.3414634146341 41.4634146341463 12.1951219512195
"elise mertens" 3 781.5 3689.40825879613 422 153.137272041684 146 58 14 50.89 "W" 15.3566516014934 260.5 72.4977060089631 1229.80275293204 8.29239536254667 140.666666666667 16.9633333333333 66.9724770642202 26.605504587156 6.42201834862385
"viktoria kuzmova" 1 225 1018.54682840237 171 154.325842696629 51 38 6 20.6566666666667 "W" 10.8923672744876 225 49.3083828498807 1018.54682840237 8.27819912861061 171 20.6566666666667 53.6842105263158 40 6.31578947368421
"petra kvitova" 8 1845.5 8903.85545977576 1090 155.574874089901 302 179 47 149.196666666667 "W" 12.3695793024867 230.6875 59.6786487171905 1112.98193247197 7.30579324828526 136.25 18.6495833333333 57.1969696969697 33.9015151515151 8.90151515151515
"kristyna pliskova" 2 396 1932.17998180716 193 147.748546511628 61 31 4 22.53 "W" 17.5765645805593 198 85.7603187664073 966.089990903578 8.56635596981802 96.5 11.265 63.5416666666667 32.2916666666667 4.16666666666667
"claire liu" 1 313.5 1696.18086206897 175 138.585365853659 60 22 4 22.5466666666667 "W" 13.9044943820225 313.5 75.2297839474705 1696.18086206897 7.76167947959786 175 22.5466666666667 69.7674418604651 25.5813953488372 4.65116279069767
